Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
142.251.106.17,192.168.0.116,TCP,443,58620,1026
142.251.106.17,192.168.0.116,TCP,443,58620,97
142.251.106.17,192.168.0.116,TCP,443,58620,66
142.251.106.17,192.168.0.116,TCP,443,58620,66
192.168.0.116,142.251.106.17,TCP,58620,443,66
192.168.0.116,142.251.106.17,TCP,58620,443,97
142.251.106.17,192.168.0.116,TCP,443,58620,66
142.251.106.17,192.168.0.116,TCP,443,58620,66
142.251.106.17,192.168.0.116,TCP,443,58620,1345
142.251.106.17,192.168.0.116,TCP,443,58620,620
142.251.106.17,192.168.0.116,TCP,443,58620,231
142.251.106.17,192.168.0.116,TCP,443,58620,105
142.251.106.17,192.168.0.116,TCP,443,58620,105
192.168.0.116,142.251.106.17,TCP,58620,443,78
192.168.0.116,142.251.106.17,TCP,58620,443,105
142.251.106.17,192.168.0.116,TCP,443,58620,66
192.168.0.116,51.105.71.136,TCP,42348,443,184
192.168.0.116,51.105.71.136,TCP,42348,443,1494
192.168.0.116,51.105.71.136,TCP,42348,443,1494
51.105.71.136,192.168.0.116,TCP,443,42348,66
51.105.71.136,192.168.0.116,TCP,443,42348,105
192.168.0.116,51.105.71.136,TCP,42348,443,77
192.168.0.116,51.105.71.136,TCP,42348,443,66
51.105.71.136,192.168.0.116,TCP,443,42348,160
192.168.0.116,51.105.71.136,TCP,42348,443,66
192.168.0.116,51.105.71.136,TCP,42348,443,101
51.105.71.136,192.168.0.116,TCP,443,42348,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,78
172.64.155.209,192.168.0.116,TCP,443,60616,78
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,78
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1326
172.64.155.209,192.168.0.116,TCP,443,60616,66
172.64.155.209,192.168.0.116,TCP,443,60616,105
192.168.0.116,172.64.155.209,TCP,60616,443,66
172.64.155.209,192.168.0.116,TCP,443,60616,2233
172.64.155.209,192.168.0.116,TCP,443,60616,112
172.64.155.209,192.168.0.116,TCP,443,60616,97
172.64.155.209,192.168.0.116,TCP,443,60616,97
192.168.0.116,172.64.155.209,TCP,60616,443,66
192.168.0.116,172.64.155.209,TCP,60616,443,66
192.168.0.116,172.64.155.209,TCP,60616,443,66
192.168.0.116,172.64.155.209,TCP,60616,443,78
192.168.0.116,172.64.155.209,TCP,60616,443,101
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.148.235,TCP,53204,443,157
172.64.148.235,192.168.0.116,TCP,443,53204,66
172.64.148.235,192.168.0.116,TCP,443,53204,151
192.168.0.116,172.64.148.235,TCP,53204,443,157
172.64.148.235,192.168.0.116,TCP,443,53204,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
